count_session,count_hit,totals_newVisits,historic_session,historic_session_page,avg_session_time,avg_session_time_page,single_page_rate,sessionQualityDim,earliest_visit_number,latest_visit_number,time_earliest_visit,time_latest_visit,avg_visit_time,days_since_last_visit,days_since_first_visit,visits_per_day,bounce_rate,num_interactions,bounces,time_on_site,transactionRevenue,has_converted
47,11386,0,11059,0,235.2978723,0.0,1.0,2,5,47,13.28,8.25,14,0,28,392.6206897,0.0,16191,0,2416,147276409,1
4,176,0,183,0,45.75,0.0,1.0,4,26,29,13.72,17.62,13,0,28,6.068965517,0.0,408,0,138,0,0
5,806,0,3963,0,792.6,0.0,1.0,7,441,445,6.57,17.85,11,0,20,38.38095238,0.0,8770,0,14760,0,0
3,488,0,2360,2110,786.6666667,703.3333333,0.666666667,2,101,147,9.98,19.18,13,0,20,31.0,0.0,8585,0,2098,56970399,1
1,245,0,1566,0,1566.0,0.0,1.0,11,38,38,14.72,14.72,15,0,0,245.0,0.0,247,0,0,68576049,1
11,1228,0,1406,0,127.8181818,0.0,1.0,4,56,66,9.35,6.53,6,0,26,45.48148148,0.0,3061,0,3952,73985842,1
10,1584,0,3389,0,338.9,0.0,1.0,2,37,46,14.4,10.73,12,0,30,51.09677419,0.0,5645,0,4476,0,0
9,1121,0,2858,0,317.5555556,0.0,1.0,2,10,69,9.02,17.52,12,0,29,37.36666667,0.0,6004,0,604,21577249,1
10,1087,0,5839,0,583.9,0.0,1.0,3,42,52,9.17,8.43,10,0,25,41.80769231,0.0,1168,0,4157,0,0
37,9340,0,10336,0,279.3513514,0.0,1.0,2,23,97,10.05,23.23,16,0,27,333.5714286,0.0,21065,0,9038,0,0
49,7607,0,41962,12531,856.3673469,255.7346939,0.836734694,3,6,157,16.28,6.72,12,0,28,262.3103448,0.0,21512,0,1241,0,0
10,789,0,5344,0,534.4,0.0,1.0,7,28,37,15.6,6.33,16,0,30,25.4516129,0.0,3544,0,12814,0,0
10,535,0,2071,0,207.1,0.0,1.0,5,32,41,10.08,17.68,10,0,27,19.10714286,0.0,3280,0,4012,0,0
3,147,0,2202,2117,734.0,705.6666667,0.666666667,2,99,126,17.73,17.12,14,0,21,18.0,0.0,1994,0,19458,0,0
40,1101,0,33901,33883,847.525,847.075,0.175,53,1,99,10.45,10.05,12,0,30,145.4193548,0.47,5931,0,53471,830323926,0
26,5305,0,7541,0,290.0384615,0.0,1.0,2,1,267,11.27,11.6,13,0,27,189.4642857,0.0,30078,0,7628,339704144,1
18,2070,0,10176,1337,565.3333333,74.27777778,0.888888889,4,318,335,5.15,16.13,9,0,29,69.0,0.0,13241,0,52404,0,0
51,10062,0,11954,0,234.3921569,0.0,1.0,2,274,353,12.08,12.33,13,0,29,335.4,0.0,31226,0,675,56250982,1
15,1258,0,5088,0,339.2,0.0,1.0,54,38,52,7.47,11.25,11,0,25,48.38461538,0.0,1640,0,6846,0,0
22,912,0,4578,1263,208.0909091,57.40909091,0.863636364,4,2,22,7.7,10.77,13,0,26,38.59259259,0.0,1078,0,1445,0,0
13,341,0,3442,0,264.7692308,0.0,1.0,6,113,125,13.65,11.9,15,0,29,11.36666667,0.0,1904,0,1261,0,0
3,513,0,1180,0,393.3333333,0.0,1.0,2,1,5,15.35,9.98,15,0,1,256.5,0.0,513,0,1159,0,0
5,1154,0,4010,0,802.0,0.0,1.0,45,44,49,10.13,11.92,11,0,21,52.45454545,0.0,6120,0,5794,0,0
38,6973,0,10214,0,268.7894737,0.0,1.0,2,16,182,9.38,10.85,14,0,26,258.2592593,0.0,14815,0,1780,365091311,1
20,2396,0,17467,15914,873.35,795.7,0.25,5,41,60,8.77,9.6,12,0,28,82.62068966,0.0,4579,0,376,25415243,0
23,1444,0,12863,6734,559.2608696,292.7826087,0.739130435,5,1,51,11.37,13.67,10,0,19,97.95,0.08,2322,0,7545,0,0
2,641,0,829,0,414.5,0.0,1.0,3,39,40,13.57,12.92,13,0,15,40.0625,0.0,1499,0,3288,36769310,1
34,5297,0,18345,739,539.5588235,21.73529412,0.970588235,5,44,80,11.27,17.33,12,0,29,176.5666667,0.0,39112,0,56429,0,0
1,107,0,243,0,243.0,0.0,1.0,4,27,27,11.55,11.55,12,0,0,107.0,0.0,871,0,244,0,0
19,3492,0,6658,0,350.4210526,0.0,1.0,2,4,66,12.87,16.1,12,0,26,129.3333333,0.0,10071,0,4655,189291269,1
2,698,0,672,0,336.0,0.0,1.0,2,9,10,19.05,15.55,18,0,29,23.26666667,0.0,2326,0,0,39842520,1
67,12286,0,23094,322,344.6865672,4.805970149,0.985074627,10,5,263,19.48,17.97,13,0,30,396.3225806,0.0,48456,0,862,44527694,1
37,3418,0,6499,0,175.6486486,0.0,1.0,4,326,362,18.77,17.22,13,0,30,110.2580645,0.0,6923,0,160,0,0
48,7114,0,8636,0,179.9166667,0.0,1.0,2,340,606,9.67,7.77,11,0,28,245.3103448,0.0,22751,0,339,79197738,1
8,1127,0,1178,0,147.25,0.0,1.0,2,45,68,13.08,9.1,9,0,25,43.34615385,0.0,4580,0,0,520804391,1
35,4296,0,25080,4811,716.5714286,137.4571429,0.914285714,4,36,70,9.13,9.12,17,0,30,138.5806452,0.0,7657,0,4174,0,0
10,1150,0,6088,0,608.8,0.0,1.0,4,3,12,12.4,21.07,13,0,15,71.875,0.0,1161,0,16464,0,0
8,814,0,8171,6691,1021.375,836.375,0.625,9,42,57,3.4,14.17,7,0,28,33.51724138,0.0,4287,0,2682,46883933,0
1,88,0,1934,1934,1934.0,1934.0,0.0,56,2,2,19.23,19.23,19,0,0,361.0,0.0,363,0,56086,0,0
7,440,0,5354,5354,764.8571429,764.8571429,0.142857143,55,1,34,5.12,4.52,8,0,19,46.7,0.0,1122,0,5133,67711200,0
2,76,0,232,0,116.0,0.0,1.0,5,29,30,8.07,20.37,16,0,7,9.5,0.0,1180,0,1200,0,0
8,237,0,740,0,92.5,0.0,1.0,4,65,72,21.43,17.03,18,0,22,10.30434783,0.0,500,0,2491,0,0
6,594,0,2440,1774,406.6666667,295.6666667,0.666666667,45,4,76,18.23,16.7,14,0,22,33.86956522,0.0,2480,0,9763,0,0
15,1927,0,12918,4672,861.2,311.4666667,0.933333333,3,28,52,16.82,8.0,15,0,29,65.66666667,0.12,4072,0,72,0,0
28,3981,0,10752,0,384.0,0.0,1.0,2,120,322,17.38,23.2,11,0,28,137.2758621,0.0,23812,0,4403,352185275,1
2,125,0,120,0,60.0,0.0,1.0,5,35,36,22.63,23.95,23,0,22,5.434782609,0.0,315,0,34,0,0
38,2308,0,14883,2834,391.6578947,74.57894737,0.973684211,6,144,181,13.03,9.67,13,0,25,88.76923077,0.0,7392,0,10580,0,0
19,2297,0,14825,0,780.2631579,0.0,1.0,5,473,492,13.25,23.72,16,0,24,91.88,0.0,11859,0,20991,0,0
23,1082,0,2690,0,116.9565217,0.0,1.0,5,142,164,4.43,7.03,9,0,29,36.06666667,0.0,4474,0,1340,0,0
14,1396,0,5871,759,419.3571429,54.21428571,0.928571429,4,49,62,0.48,18.52,16,0,28,48.13793103,0.0,5195,0,160,0,0
7,840,0,2531,2290,361.5714286,327.1428571,0.714285714,5,44,50,12.93,10.42,10,0,17,46.66666667,0.0,1518,0,1506,48244598,1
5,757,0,3965,0,793.0,0.0,1.0,4,7,11,16.88,19.08,16,0,14,50.46666667,0.0,1024,0,43156,0,0
10,691,0,5502,3214,550.2,321.4,0.8,8,3,43,16.7,20.47,18,0,12,71.69230769,0.0,4235,0,0,58834659,1
6,1024,0,1231,0,205.1666667,0.0,1.0,4,10,59,14.4,8.48,14,0,27,36.57142857,0.0,5149,0,0,208113258,1
78,8017,0,37085,4936,475.4487179,63.28205128,0.935897436,5,543,620,8.95,7.88,13,0,30,258.6129032,0.0,49817,0,21689,0,0
4,362,0,1302,0,325.5,0.0,1.0,2,48,51,2.42,10.1,4,0,15,22.625,0.0,1697,0,0,46407407,1
1,137,0,651,0,651.0,0.0,1.0,15,2,2,7.82,7.82,8,0,0,137.0,0.0,145,0,1304,0,0
4,92,0,208,0,52.0,0.0,1.0,4,152,155,19.3,1.35,12,0,18,4.842105263,0.0,3156,0,63073,824612054,1
3,147,0,214,0,71.33333333,0.0,1.0,2,35,37,14.6,16.72,16,0,8,16.33333333,0.0,3410,0,0,49102220,1
11,1783,0,9925,2427,902.2727273,220.6363636,0.818181818,5,25,35,18.58,11.28,17,0,25,68.57692308,0.0,2744,0,14820,590526975,1
11,2524,0,9529,0,866.2727273,0.0,1.0,2,6,21,9.52,10.93,14,0,13,180.2857143,0.0,7683,0,826,48066386,1
52,11337,0,16735,0,321.8269231,0.0,1.0,6,17,215,11.37,12.8,13,0,29,377.9,0.0,56205,0,14445,566549864,1
29,1622,0,7197,0,248.1724138,0.0,1.0,4,163,191,5.65,15.5,12,0,29,54.06666667,0.0,4084,0,51117,0,0
43,3740,0,11176,0,259.9069767,0.0,1.0,2,25,276,5.78,10.9,10,0,29,124.6666667,0.0,15300,0,352,41315085,1
16,876,0,1305,0,81.5625,0.0,1.0,6,1,16,5.78,10.67,11,0,7,109.5,0.0,876,0,41,0,0
5,661,0,1984,0,396.8,0.0,1.0,6,157,161,6.75,5.35,7,0,22,28.73913043,0.0,6803,0,1300,0,0
18,686,0,3799,873,211.0555556,48.5,0.944444444,3,112,129,13.12,10.25,14,0,26,25.40740741,0.0,1986,0,1748,10618160,0
15,1509,0,4608,0,307.2,0.0,1.0,1,7,109,7.42,11.15,13,0,26,55.88888889,0.0,8107,0,894,73613602,1
15,1406,0,6620,1541,441.3333333,102.7333333,0.933333333,4,144,158,19.83,2.2,16,0,28,48.48275862,0.0,1908,0,29941,1004151312,0
1,91,0,1258,1258,1258.0,1258.0,0.0,64,52,52,11.8,11.8,12,0,0,345.0,0.0,354,0,22842,662183334,0
45,10300,0,17300,0,384.4444444,0.0,1.0,2,14,148,7.78,15.7,9,0,29,343.3333333,0.0,32421,0,9333,46610213,1
24,4970,0,4337,0,180.7083333,0.0,1.0,2,9,81,7.38,6.42,12,0,30,160.3225806,0.0,20466,0,1730,54930992,1
8,828,0,1957,0,244.625,0.0,1.0,41,50,57,15.0,19.03,14,0,29,27.6,0.0,2999,0,85,0,0
12,2738,0,6974,0,581.1666667,0.0,1.0,2,44,101,16.85,7.3,15,0,23,114.0833333,0.0,15559,0,4312,68198540,1
7,730,0,1571,0,224.4285714,0.0,1.0,4,35,41,8.73,4.75,7,0,23,30.41666667,0.0,4341,0,5360,0,0
15,1961,0,2166,0,144.4,0.0,1.0,2,15,149,21.15,19.58,9,0,23,81.70833333,0.0,20647,0,5231,501974108,1
2,424,0,3627,1137,1813.5,568.5,0.5,54,1,4,9.55,10.88,10,0,26,18.74074074,0.0,506,0,114660,0,0
4,199,0,935,444,233.75,111.0,0.75,17,1,120,8.67,14.9,10,0,8,23.22222222,0.0,1707,0,837,0,0
13,1918,0,16226,0,1248.153846,0.0,1.0,41,75,87,14.75,7.38,13,0,30,61.87096774,0.0,6940,0,125543,3634396189,1
37,2756,0,16196,0,437.7297297,0.0,1.0,2,5,113,9.45,8.75,14,0,30,88.90322581,0.0,8159,0,25634,211450224,1
2,225,0,111,0,55.5,0.0,1.0,2,99,100,8.67,9.62,9,0,1,112.5,0.0,2112,0,243,22529574,1
11,1685,0,4700,1338,427.2727273,121.6363636,0.909090909,10,73,83,20.68,14.37,12,0,10,153.1818182,0.0,2890,0,4017,110755659,0
1,63,0,47,0,47.0,0.0,1.0,2,2,2,18.45,18.45,18,0,0,63.0,0.0,696,0,0,173740811,1
3,31,0,884,862,294.6666667,287.3333333,0.333333333,3,7,10,4.47,12.3,8,0,1,80.5,0.25,161,0,576,0,0
12,438,0,2491,0,207.5833333,0.0,1.0,4,105,116,6.25,9.22,11,0,28,15.10344828,0.0,1863,0,424,0,0
2,112,0,163,0,81.5,0.0,1.0,2,13,14,18.67,11.23,13,0,24,4.48,0.0,6533,0,146422,344808048,0
10,223,0,386,0,38.6,0.0,1.0,4,24,101,12.18,16.25,12,0,28,7.689655172,0.0,1183,0,3586,77266834,1
4,557,0,1895,1703,473.75,425.75,0.75,44,178,181,12.33,8.8,9,0,27,19.89285714,0.0,6980,0,936,165030606,1
25,6859,0,9308,0,372.32,0.0,1.0,3,54,159,18.27,12.38,14,0,30,221.2580645,0.0,24451,0,406,403578285,1
6,1222,0,3428,1163,571.3333333,193.8333333,0.833333333,41,32,37,11.68,2.83,9,0,29,40.73333333,0.0,2196,0,169,0,0
10,1017,0,7320,3294,732.0,329.4,0.9,16,9,18,16.2,16.58,13,0,27,36.32142857,0.0,1017,0,384,0,0
9,1099,0,4551,4358,505.6666667,484.2222222,0.777777778,2,1,85,3.9,6.98,7,0,20,52.33333333,0.0,6608,0,32462,4026824706,1
9,341,0,765,0,85.0,0.0,1.0,24,31,39,17.48,17.45,18,0,30,11.0,0.0,423,0,1560,0,0
1,85,1,4280,4280,4280.0,4280.0,0.0,41,1,1,10.27,10.27,10,0,0,425.0,0.0,425,0,51900,0,0
22,3636,0,7707,0,350.3181818,0.0,1.0,3,213,234,15.53,19.9,11,0,29,121.2,0.0,11442,0,460,38374637,1
20,2882,0,4370,0,218.5,0.0,1.0,11,9,111,3.77,5.97,7,0,28,99.37931034,0.0,8191,0,186,99483245,1
5,178,0,3213,2583,642.6,516.6,0.6,4,5,88,9.7,6.83,9,0,29,13.13333333,0.0,907,0,6392,93341808,0
5,1227,0,2371,0,474.2,0.0,1.0,11,46,50,9.6,9.93,11,0,25,47.19230769,0.0,12417,0,15580,0,0
41,3004,0,11769,2386,287.0487805,58.19512195,0.975609756,6,194,234,4.5,19.18,13,0,29,100.1333333,0.0,4030,0,277719,0,0
1,105,0,636,0,636.0,0.0,1.0,16,42,42,2.87,2.87,3,0,0,105.0,0.0,665,0,21021,0,0
12,2310,0,3467,0,288.9166667,0.0,1.0,3,3,10,9.7,3.83,8,0,30,74.51612903,0.0,7373,0,1434,318847319,1
20,3349,0,3647,0,182.35,0.0,1.0,2,44,256,10.67,21.27,15,0,30,108.0322581,0.0,25886,0,5238,546045192,1
27,4061,0,10626,1317,393.5555556,48.77777778,0.962962963,24,162,188,23.95,13.4,14,0,27,145.0357143,0.0,11136,0,17025,0,0
5,438,0,2430,0,486.0,0.0,1.0,8,13,17,8.48,11.9,9,0,14,29.2,0.0,1589,0,211,0,0
1,99,0,2803,2803,2803.0,2803.0,0.0,56,52,52,7.75,7.75,8,0,0,335.0,0.0,394,0,0,29948271,1
19,2537,0,11337,3522,596.6842105,185.3684211,0.894736842,10,96,114,19.37,9.48,15,0,29,84.56666667,0.0,10073,0,3048,86795682,0
26,3461,0,3318,0,127.6153846,0.0,1.0,3,4,80,7.47,16.22,12,0,29,115.3666667,0.0,10499,0,5409,0,0
8,1247,0,739,0,92.375,0.0,1.0,2,46,53,7.47,0.35,17,0,30,40.22580645,0.0,9220,0,1263,35897473,1
5,93,0,294,0,58.8,0.0,1.0,5,40,44,8.42,15.58,11,0,22,4.043478261,0.0,902,0,1880,0,0
6,571,0,405,0,67.5,0.0,1.0,2,30,35,8.77,18.75,11,0,21,25.95454545,0.0,1245,0,0,240168686,1
20,2234,0,12612,0,630.6,0.0,1.0,3,1,34,14.43,1.28,12,0,28,77.03448276,0.0,2450,0,0,355749261,1
6,297,0,2904,0,484.0,0.0,1.0,24,113,118,8.23,12.87,10,0,27,10.60714286,0.0,481,0,225,0,0
15,3361,0,4013,0,267.5333333,0.0,1.0,4,1,62,14.53,8.7,12,0,27,120.0357143,0.0,4680,0,0,45453926,1
1,35,1,1390,1390,1390.0,1390.0,0.0,34,1,1,5.0,5.0,5,0,0,364.0,0.0,385,0,3424,0,0
13,2422,0,6897,0,530.5384615,0.0,1.0,2,12,152,18.23,14.38,15,0,17,134.5555556,0.0,17445,0,2804,0,0
2,779,0,401,0,200.5,0.0,1.0,2,40,41,9.98,21.22,14,0,2,259.6666667,0.0,1793,0,40150,0,0
60,6777,0,44246,2745,737.4333333,45.75,0.966666667,11,1,354,10.17,9.78,13,0,30,218.6129032,0.0,17297,0,8945,0,0
22,4629,0,5808,0,264.0,0.0,1.0,2,117,134,10.23,3.15,10,0,28,159.6206897,0.0,22259,0,2786,112269959,1
12,1847,0,12915,8425,1076.25,702.0833333,0.416666667,41,39,50,10.3,9.35,10,0,27,65.96428571,0.0,8364,0,30153,5079358535,0
5,252,0,183,0,36.6,0.0,1.0,2,233,237,16.92,18.05,17,0,24,10.08,0.0,15162,0,2347,511596976,1
4,482,0,2488,1867,622.0,466.75,0.75,7,26,30,9.55,20.3,12,0,26,17.85185185,0.0,1846,0,9335,70515475,0
19,2371,0,7187,5783,378.2631579,304.3684211,0.631578947,2,163,280,17.13,11.47,11,0,26,117.4074074,0.0,6544,0,17921,0,0
41,1294,0,5951,322,145.1463415,7.853658537,0.975609756,6,238,278,10.73,13.97,10,0,29,43.13333333,0.0,2261,0,2547,0,0
10,2551,0,3104,0,310.4,0.0,1.0,3,150,159,17.63,19.47,16,0,28,87.96551724,0.0,10159,0,401,38464522,1
33,4828,0,6725,0,203.7878788,0.0,1.0,2,1,31,11.3,12.6,12,0,29,160.9333333,0.0,15215,0,3056,60662410,1
4,605,0,2601,0,650.25,0.0,1.0,6,15,19,8.77,8.68,10,0,15,37.8125,0.0,1910,0,6591,0,0
68,16953,0,23584,0,346.8235294,0.0,1.0,2,5,76,23.78,15.97,16,0,28,584.5862069,0.0,56871,0,4172,150616326,1
16,476,0,14119,13919,882.4375,869.9375,0.125,62,47,74,6.75,16.62,11,0,26,63.96296296,0.27,2415,0,11773,115461446,1
34,1494,0,6210,384,182.6470588,11.29411765,0.970588235,24,1,34,13.43,13.63,12,0,24,59.76,0.0,1494,0,2075,0,0
65,7336,0,23262,0,357.8769231,0.0,1.0,2,1,79,12.22,11.52,11,0,30,236.6451613,0.0,15379,0,0,15559668,1
8,939,0,3281,0,410.125,0.0,1.0,2,81,178,6.5,20.05,11,0,29,31.3,0.0,8286,0,0,105277415,1
19,395,0,3747,0,197.2105263,0.0,1.0,11,124,142,13.22,19.27,15,0,29,13.16666667,0.0,1069,0,75,0,0
14,1661,0,6137,0,438.3571429,0.0,1.0,5,105,118,8.82,3.48,9,0,26,61.51851852,0.0,7999,0,6848,0,0
1,97,0,326,0,326.0,0.0,1.0,8,7,7,2.33,2.33,2,0,0,97.0,0.0,872,0,654,0,0
21,3102,0,16788,2829,799.4285714,134.7142857,0.952380952,41,51,71,14.6,4.57,11,0,30,100.0645161,0.0,5536,0,2758,0,0
13,1624,0,11445,4086,880.3846154,314.3076923,0.769230769,21,113,125,15.42,7.18,14,0,29,54.13333333,0.0,7333,0,7424,0,0
10,2341,0,2343,0,234.3,0.0,1.0,2,118,128,14.88,13.15,15,0,27,83.60714286,0.0,16282,0,10069,227653897,1
5,601,0,1950,0,390.0,0.0,1.0,3,45,49,15.32,17.58,15,0,19,30.05,0.0,2922,0,3420,0,0
5,310,0,780,356,156.0,71.2,0.8,4,76,80,10.42,10.37,11,0,29,10.33333333,0.0,2665,0,1824,20419484,0
6,161,0,6367,6367,1061.166667,1061.166667,0.166666667,8,1,5,2.37,1.77,3,0,20,31.52380952,0.14,662,0,53921,0,0
4,408,0,250,0,62.5,0.0,1.0,2,109,112,5.12,3.87,5,0,25,15.69230769,0.0,9179,0,0,75779113,1
135,8833,0,73156,18040,541.8962963,133.6296296,0.948148148,5,768,903,17.27,16.92,13,0,30,284.9354839,0.0,30991,0,138584,339478326,1
12,1143,0,4922,0,410.1666667,0.0,1.0,4,1,12,11.9,19.92,14,0,6,163.2857143,0.0,1143,0,3446,0,0
5,616,0,2058,1637,411.6,327.4,0.8,2,1,15,17.1,13.05,18,0,9,71.3,0.0,1739,0,46440,0,0
2,295,0,824,0,412.0,0.0,1.0,8,40,41,18.55,22.9,20,0,26,10.92592593,0.0,663,0,3784,0,0
196,35774,0,72597,0,370.3928571,0.0,1.0,6,21,657,19.05,17.77,11,0,30,1154.0,0.0,77123,0,3695,180651590,1
14,965,0,6111,4667,436.5,333.3571429,0.785714286,18,46,88,7.47,13.35,14,0,28,33.27586207,0.0,6448,0,3224,151324435,1
9,274,0,623,0,69.22222222,0.0,1.0,4,27,35,7.47,16.68,17,0,28,9.448275862,0.0,501,0,62,0,0
40,3594,0,15323,0,383.075,0.0,1.0,3,33,221,7.0,9.58,17,0,29,119.8,0.0,16600,0,1454,531202088,1
2,328,0,1306,0,653.0,0.0,1.0,44,44,45,20.05,14.72,15,0,28,11.31034483,0.0,2656,0,1217,0,0
7,680,0,392,0,56.0,0.0,1.0,2,44,50,13.5,12.73,15,0,25,26.15384615,0.0,5414,0,0,13653874,1
18,857,0,20083,12225,1115.722222,679.1666667,0.666666667,53,71,84,8.73,8.83,10,0,28,54.93103448,0.0,3417,0,3826,274559715,1
2,19,1,866,866,433.0,433.0,0.0,4,1,6,8.73,7.27,8,0,2,46.33333333,0.0,139,0,708,0,0
9,2350,0,4254,2681,472.6666667,297.8888889,0.888888889,3,1,81,13.47,13.85,10,0,26,100.962963,0.0,7040,0,22032,0,0
17,1504,0,11392,358,670.1176471,21.05882353,0.941176471,3,112,128,9.07,14.67,12,0,27,53.71428571,0.0,4200,0,1776,0,0
24,3388,0,17004,3365,708.5,140.2083333,0.958333333,18,345,369,5.4,13.57,9,0,24,135.52,0.0,20912,0,187582,47372840,0
32,3987,0,5429,0,169.65625,0.0,1.0,2,20,209,10.45,16.37,14,0,27,142.3928571,0.0,28195,0,398,77294817,1
2,79,0,52,0,26.0,0.0,1.0,2,11,12,16.82,9.45,14,0,24,3.16,0.0,973,0,3032,34304828,1
6,1068,0,4190,98,698.3333333,16.33333333,0.833333333,53,16,21,7.6,13.85,10,0,18,56.21052632,0.0,3745,0,891,159760773,1
16,1163,0,4989,0,311.8125,0.0,1.0,5,92,107,11.15,16.13,12,0,27,41.53571429,0.0,4865,0,12474,0,0
33,8343,0,10296,0,312.0,0.0,1.0,4,6,47,11.37,17.92,13,0,28,287.6896552,0.0,13837,0,0,115179826,1
15,2990,0,4207,0,280.4666667,0.0,1.0,2,80,123,12.75,22.07,16,0,24,119.6,0.0,9382,0,1499,204949698,1
42,2306,0,9373,0,223.1666667,0.0,1.0,4,1,142,11.9,5.83,14,0,30,74.38709677,0.0,3279,0,174,0,0
6,133,0,5127,5004,854.5,834.0,0.166666667,3,1,9,15.32,9.28,9,0,3,212.0,0.71,848,0,19806,0,0
6,526,0,2049,1381,341.5,230.1666667,0.666666667,4,30,35,12.93,16.92,16,0,24,21.04,0.0,2417,0,2595,276643956,0
1,32,0,2703,2703,2703.0,2703.0,0.0,55,48,48,20.72,20.72,21,0,0,257.0,0.0,257,0,36660,286689754,0
4,389,0,595,303,148.75,75.75,0.75,15,1,76,6.97,8.73,11,0,6,62.85714286,0.0,948,0,4660,0,0
79,12228,0,22291,0,282.164557,0.0,1.0,4,1,121,1.88,9.8,13,0,29,407.6,0.0,33699,0,5488,0,0
12,421,0,4053,2502,337.75,208.5,0.833333333,4,1,10,12.58,16.3,10,0,10,41.45454545,0.0,456,0,29867,35938340,1
13,1776,0,3599,948,276.8461538,72.92307692,0.923076923,2,5,164,17.38,8.83,16,0,30,61.61290323,0.0,13601,0,1895,170022409,1
19,1753,0,8271,2793,435.3157895,147.0,0.894736842,5,159,177,14.15,16.6,15,0,29,58.43333333,0.0,4827,0,563,0,0
34,5447,0,20362,2574,598.8823529,75.70588235,0.882352941,5,33,66,18.55,7.42,12,0,30,175.7096774,0.0,5734,0,18882,0,0
15,1282,0,8871,3391,591.4,226.0666667,0.8,6,33,59,17.95,10.83,13,0,24,52.12,0.0,2757,0,4031,0,0
5,160,0,2396,2396,479.2,479.2,0.4,55,1,36,8.95,10.28,9,0,12,31.76923077,0.6,460,0,2446,0,0
1,15,0,1026,1026,1026.0,1026.0,0.0,53,2,2,13.0,13.0,13,0,0,47.0,0.0,64,0,5036,56520700,1
7,462,0,3101,2666,443.0,380.8571429,0.714285714,5,29,35,11.2,11.37,6,0,27,16.5,0.0,2926,0,9282,131364251,1
23,2586,0,8595,0,373.6956522,0.0,1.0,8,266,288,16.53,7.73,12,0,30,83.41935484,0.0,9502,0,4725,0,0
13,1243,0,9597,0,738.2307692,0.0,1.0,4,10,22,7.53,6.97,9,0,23,51.79166667,0.0,2168,0,22054,0,0
34,5850,0,22846,4916,671.9411765,144.5882353,0.764705882,6,38,229,6.78,9.07,9,0,29,195.0,0.0,17897,0,156503,605298252,1
